network,quantity,symbol,method,finite outputs,attempted samples,method converged samples,common converged samples,sigma calibration samples,MCS [%],standardized MWS,standardized MWIS,component class
CIGRE LV,Reactive power,sigma_Q,Analytical UQ ILSE,16,1000,1000,1000,0,69.5625,1.9216828971962538,3.0424967739515454,Node
CIGRE LV,Reactive power,sigma_Q,Monte Carlo UQ ILSE,16,1000,1000,1000,1000,68.2875,1.9999999999999962,3.023434742455582,Node
CIGRE LV,Reactive power,sigma_Q,Analytical UQ NRSE,16,1000,1000,1000,0,71.14375,1.9987370702709488,3.0427377727176257,Node
CIGRE LV,Reactive power,sigma_Q,Monte Carlo UQ NRSE,16,1000,1000,1000,1000,68.35,1.9999999999999936,3.0195354237506398,Node
CIGRE LV,Reactive power,sigma_Q,Gain inverse NumPy,16,1000,1000,1000,1,83.82499999999999,2.5320258713240626,3.1828580766848504,Node
CIGRE LV,Current magnitude,sigma_|I|,Analytical UQ ILSE,80,1000,1000,1000,0,68.735,2.0156079294608324,3.078384033922951,Branch terminal
CIGRE LV,Current magnitude,sigma_|I|,Monte Carlo UQ ILSE,80,1000,1000,1000,1000,68.535,2.0000000000000107,3.043685209026793,Branch terminal
CIGRE LV,Current magnitude,sigma_|I|,Analytical UQ NRSE,80,1000,1000,1000,0,71.30499999999999,2.137014951741682,3.087197013824264,Branch terminal
CIGRE LV,Current magnitude,sigma_|I|,Monte Carlo UQ NRSE,80,1000,1000,1000,1000,68.5275,2.000000000000004,3.041744058248572,Branch terminal
CIGRE LV,Current magnitude,sigma_|I|,Gain inverse NumPy,80,1000,1000,1000,1,90.23,3.8220992290795555,4.187432884736748,Branch terminal
CIGRE LV,Active power,sigma_P,Analytical UQ ILSE,80,1000,1000,1000,0,68.7375,2.008219407620103,3.0836881589038208,Branch terminal
CIGRE LV,Active power,sigma_P,Monte Carlo UQ ILSE,80,1000,1000,1000,1000,68.26875,2.000000000000004,3.067949294965366,Branch terminal
CIGRE LV,Active power,sigma_P,Analytical UQ NRSE,80,1000,1000,1000,0,69.875,2.093930456940464,3.096677439700128,Branch terminal
CIGRE LV,Active power,sigma_P,Monte Carlo UQ NRSE,80,1000,1000,1000,1000,68.28,2.000000000000009,3.0666850693625465,Branch terminal
CIGRE LV,Active power,sigma_P,Gain inverse NumPy,80,1000,1000,1000,1,89.57749999999999,3.639769819800742,4.074597651345364,Branch terminal
CIGRE LV,Reactive power,sigma_Q,Analytical UQ ILSE,80,1000,1000,1000,0,67.44749999999999,1.8881212757776011,3.049038597713965,Branch terminal
CIGRE LV,Reactive power,sigma_Q,Monte Carlo UQ ILSE,80,1000,1000,1000,1000,68.38374999999999,1.999999999999998,3.0282942234732406,Branch terminal
CIGRE LV,Reactive power,sigma_Q,Analytical UQ NRSE,80,1000,1000,1000,0,68.09375,1.9197844675203803,3.0620662983779288,Branch terminal
CIGRE LV,Reactive power,sigma_Q,Monte Carlo UQ NRSE,80,1000,1000,1000,1000,68.4325,1.9999999999999984,3.0330511602444044,Branch terminal
CIGRE LV,Reactive power,sigma_Q,Gain inverse NumPy,80,1000,1000,1000,1,90.5675,3.2878961639378854,3.6874399710563575,Branch terminal
IEEE 33,Voltage magnitude,sigma_|U|,Analytical UQ ILSE,33,1000,1000,1000,0,51.69696969696971,1.3766976739953984,3.207268312563809,Node
