network,quantity,symbol,unit,method,finite outputs,attempted samples,method converged samples,common converged samples,sigma calibration samples,MCS [%],MWS,MWIS,standardized MWS,standardized MWIS,component class,rated voltage [kV]
CIGRE MV,Current magnitude,sigma_|I|,A,Monte Carlo UQ ILSE,27,1000,1000,1000,1000,68.25555555555556,1.0988651273413435,1.6884501707523738,2.000000000000001,3.0730799053337994,Branch terminal,20.0
CIGRE MV,Current magnitude,sigma_|I|,A,Analytical UQ NRSE,27,1000,1000,1000,0,67.57777777777777,1.0402226530710144,1.607125354471025,1.991102181170322,3.0762171822102484,Branch terminal,20.0
CIGRE MV,Current magnitude,sigma_|I|,A,Monte Carlo UQ NRSE,27,1000,1000,1000,1000,68.05925925925928,1.044871190347042,1.6029681102853413,1.9999999999999976,3.0682597531527915,Branch terminal,20.0
CIGRE MV,Current magnitude,sigma_|I|,A,Gain inverse NumPy,27,1000,1000,1000,1,69.87037037037038,1.1040419669727646,1.6307969530365085,2.1132594661856228,3.121527262120905,Branch terminal,20.0
CIGRE MV,Active power,sigma_P,kW,Analytical UQ ILSE,27,1000,1000,1000,0,54.407407407407405,27.36348765711024,58.11557334071132,1.4898456932095616,3.1641886346883505,Branch terminal,20.0
CIGRE MV,Active power,sigma_P,kW,Monte Carlo UQ ILSE,27,1000,1000,1000,1000,68.38888888888889,36.73331779502792,56.17153060445103,2.000000000000001,3.0583423429317462,Branch terminal,20.0
CIGRE MV,Active power,sigma_P,kW,Analytical UQ NRSE,27,1000,1000,1000,0,67.5185185185185,34.641920048927446,53.70278030910612,1.98451630530781,3.076447350876094,Branch terminal,20.0
CIGRE MV,Active power,sigma_P,kW,Monte Carlo UQ NRSE,27,1000,1000,1000,1000,68.2925925925926,34.91220501063535,53.53323549763483,1.9999999999999996,3.0667347124781674,Branch terminal,20.0
CIGRE MV,Active power,sigma_P,kW,Gain inverse NumPy,27,1000,1000,1000,1,69.67777777777778,36.86951938460722,54.47847959684004,2.112127800199134,3.1208844918414163,Branch terminal,20.0
CIGRE MV,Reactive power,sigma_Q,kvar,Analytical UQ ILSE,27,1000,1000,1000,0,83.99259259259259,27.372661110639847,30.306057137050495,3.09775424387301,3.429725620460933,Branch terminal,20.0
CIGRE MV,Reactive power,sigma_Q,kvar,Monte Carlo UQ ILSE,27,1000,1000,1000,1000,68.66296296296296,17.67258404360496,26.79810349663633,2.0000000000000004,3.0327317646944287,Branch terminal,20.0
CIGRE MV,Reactive power,sigma_Q,kvar,Analytical UQ NRSE,27,1000,1000,1000,0,68.75925925925925,16.31699216793344,24.518412844835574,2.0067317585822115,3.0153766833604503,Branch terminal,20.0
CIGRE MV,Reactive power,sigma_Q,kvar,Monte Carlo UQ NRSE,27,1000,1000,1000,1000,68.73703703703706,16.262255379325502,24.51955361177733,2.000000000000001,3.015516979637338,Branch terminal,20.0
CIGRE MV,Reactive power,sigma_Q,kvar,Gain inverse NumPy,27,1000,1000,1000,1,71.02962962962962,17.19140881715894,24.737240850274873,2.114271165488484,3.0422890642492044,Branch terminal,20.0
CIGRE LV,Voltage magnitude,sigma_|U|,V,Analytical UQ ILSE,1,1000,1000,1000,0,53.800000000000004,17.807752744811435,40.38029420857591,1.4075315867198595,3.1916738958638007,Node,20.0
CIGRE LV,Voltage magnitude,sigma_|U|,V,Monte Carlo UQ ILSE,1,1000,1000,1000,1000,69.1,25.30352130329265,38.75371348783201,2.0000000000000226,3.0631083336839424,Node,20.0
CIGRE LV,Voltage magnitude,sigma_|U|,V,Analytical UQ NRSE,1,1000,1000,1000,0,67.5,23.873351841406265,37.13831253256576,1.9724931207685301,3.0684868414825215,Node,20.0
CIGRE LV,Voltage magnitude,sigma_|U|,V,Monte Carlo UQ NRSE,1,1000,1000,1000,1000,68.0,24.20627133249945,37.13352752487853,1.999999999999963,3.068091488755825,Node,20.0
CIGRE LV,Voltage magnitude,sigma_|U|,V,Gain inverse NumPy,1,1000,1000,1000,1,67.9,24.04061142294813,37.135011458826455,1.9863126454069486,3.0682140961518622,Node,20.0
CIGRE LV,Active power,sigma_P,kW,Analytical UQ ILSE,1,1000,1000,1000,0,66.2,3.048989611768751,4.9241218345659465,1.9064073567857915,3.078850139368087,Node,20.0
CIGRE LV,Active power,sigma_P,kW,Monte Carlo UQ ILSE,1,1000,1000,1000,1000,69.0,3.1986758768172003,4.920961532527611,2.000000000000017,3.0768741329454046,Node,20.0
CIGRE LV,Active power,sigma_P,kW,Analytical UQ NRSE,1,1000,1000,1000,0,69.0,3.06655444924392,4.659361555244236,2.0219619948343914,3.072194588691922,Node,20.0
CIGRE LV,Active power,sigma_P,kW,Monte Carlo UQ NRSE,1,1000,1000,1000,1000,68.10000000000001,3.0332463785947765,4.658895051407735,1.9999999999999505,3.071886994927173,Node,20.0
CIGRE LV,Active power,sigma_P,kW,Gain inverse NumPy,1,1000,1000,1000,1,74.7,3.4925069755096922,4.705881403730726,2.3028178654762574,3.102867895558633,Node,20.0
CIGRE LV,Reactive power,sigma_Q,kvar,Analytical UQ ILSE,1,1000,1000,1000,0,66.3,3.075140116467226,4.815620662635754,1.9070475911526161,2.9864062893935968,Node,20.0
CIGRE LV,Reactive power,sigma_Q,kvar,Monte Carlo UQ ILSE,1,1000,1000,1000,1000,68.8,3.2250271369563417,4.812846111658955,1.9999999999999865,2.9846856521034453,Node,20.0
