method,minimum buses,maximum buses,fit points,C [s],p,R2 log time
Deterministic ILSE,500,1000000,11,6.58276120442339e-07,1.088066292144197,0.996155438699
Deterministic NRSE,500,1000000,11,1.1531364430184318e-06,1.0423569038480807,0.9962475449952068
Analytical UQ ILSE,500,1000000,11,1.464822526928456e-06,1.0593931950844748,0.9973813599211432
Analytical UQ NRSE,500,1000000,11,2.488457644853389e-06,1.0369003492112083,0.998566987645438
Monte Carlo ILSE,500,1000000,11,2.411195510265406e-06,1.1510458023964,0.9976766578097728
Monte Carlo NRSE,500,1000000,11,5.353991434273886e-06,1.085841490012624,0.9982751416180955
Gain inverse NumPy,500,2000,3,2.4250965582888573e-08,2.468346192902814,0.9988162072087088
Gain inverse SciPy,500,2000,3,9.21997799417663e-08,2.214181340779046,0.9986639492394416
