buses,method,median time [s],minimum time [s],maximum time [s],repeats,Monte Carlo samples,converged samples,timing scope
20000,Monte Carlo NRSE,0.21617620310280472,0.21523542201612145,0.22525243798736483,3,10,10,fresh model plus 10-scenario batch state-estimation call; sample generation excluded
50000,Deterministic ILSE,0.07934850198216736,0.07834177697077394,0.08051668806001544,3,,,fresh model plus complete state-estimation call
50000,Deterministic NRSE,0.07724049710668623,0.07692069094628096,0.07752474898006767,3,,,fresh model plus complete state-estimation call
50000,Analytical UQ ILSE,0.13069093495141715,0.130481002968736,0.13173021096736193,3,,,fresh model plus complete state-estimation call
50000,Analytical UQ NRSE,0.1780213889433071,0.17768390395212919,0.1782881460385397,3,,,fresh model plus complete state-estimation call
50000,Monte Carlo ILSE,0.6249169789953157,0.6104950470617041,0.6364777630660683,3,10,10,fresh model plus 10-scenario batch state-estimation call; sample generation excluded
50000,Monte Carlo NRSE,0.6141944269184023,0.6060920659219846,0.6328139259712771,3,10,10,fresh model plus 10-scenario batch state-estimation call; sample generation excluded
100000,Deterministic ILSE,0.18219202500768006,0.1809017590712756,0.1901472939644009,3,,,fresh model plus complete state-estimation call
100000,Deterministic NRSE,0.2008767300285399,0.19626792997587472,0.20351946400478482,3,,,fresh model plus complete state-estimation call
100000,Analytical UQ ILSE,0.2975351889617741,0.2973501730011776,0.30558555491734296,3,,,fresh model plus complete state-estimation call
100000,Analytical UQ NRSE,0.40149640501476824,0.4011507439427078,0.4051342539023608,3,,,fresh model plus complete state-estimation call
100000,Monte Carlo ILSE,1.4492967689875513,1.4385975709883496,1.4517990238964558,3,10,10,fresh model plus 10-scenario batch state-estimation call; sample generation excluded
100000,Monte Carlo NRSE,1.5290365481050685,1.528321321005933,1.5308534459909424,3,10,10,fresh model plus 10-scenario batch state-estimation call; sample generation excluded
200000,Deterministic ILSE,0.4139849920757115,0.40252700995188206,0.4159432470332831,3,,,fresh model plus complete state-estimation call
200000,Deterministic NRSE,0.41500076092779636,0.4036010390846059,0.41682609589770436,3,,,fresh model plus complete state-estimation call
200000,Analytical UQ ILSE,0.6581611699657515,0.6516764119733125,0.658340753056109,3,,,fresh model plus complete state-estimation call
200000,Analytical UQ NRSE,0.8133015780476853,0.8110452530672774,0.8221273559611291,3,,,fresh model plus complete state-estimation call
200000,Monte Carlo ILSE,3.2756054820492864,3.263139581074938,3.3151667260099202,3,10,10,fresh model plus 10-scenario batch state-estimation call; sample generation excluded
200000,Monte Carlo NRSE,3.198265750077553,3.198140316992067,3.3329451410099864,3,10,10,fresh model plus 10-scenario batch state-estimation call; sample generation excluded
500000,Deterministic ILSE,1.1687660140451044,1.1570272000972182,1.1706348559819162,3,,,fresh model plus complete state-estimation call
500000,Deterministic NRSE,1.0238907330203801,1.0187727569136769,1.0289866719394922,3,,,fresh model plus complete state-estimation call
500000,Analytical UQ ILSE,1.7309058560058475,1.7306878169765696,1.7506267139688134,3,,,fresh model plus complete state-estimation call
500000,Analytical UQ NRSE,2.0714509609388188,2.0677940299501643,2.072493282961659,3,,,fresh model plus complete state-estimation call
500000,Monte Carlo ILSE,9.391570472973399,9.3563764259452,9.393309465027414,3,10,10,fresh model plus 10-scenario batch state-estimation call; sample generation excluded
500000,Monte Carlo NRSE,7.997258665971458,7.947191749000922,8.095764335012063,3,10,10,fresh model plus 10-scenario batch state-estimation call; sample generation excluded
1000000,Deterministic ILSE,2.4934076060308143,2.4416946199489757,2.5259140379494056,3,,,fresh model plus complete state-estimation call
1000000,Deterministic NRSE,2.4938425560249016,2.4787790620466694,2.5736448349198326,3,,,fresh model plus complete state-estimation call
1000000,Analytical UQ ILSE,3.5582574190339074,3.5359418130246922,3.622511338093318,3,,,fresh model plus complete state-estimation call
1000000,Analytical UQ NRSE,4.449203556054272,4.433844935963862,4.451518211979419,3,,,fresh model plus complete state-estimation call
1000000,Monte Carlo ILSE,19.99538319709245,19.814408436999656,20.541504850960337,3,10,10,fresh model plus 10-scenario batch state-estimation call; sample generation excluded
1000000,Monte Carlo NRSE,20.488574256072752,20.45211301604286,20.743880392983556,3,10,10,fresh model plus 10-scenario batch state-estimation call; sample generation excluded
